ordinal,scenario,dataset,dsm_mode_tag,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,qwk,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_f1,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,Adam,0.0001,100,5,0.547085201793722,0.5024645727534774,0.4617829450859549,0.4626376163706675,0.458563724239187,0.6562834363040329,0.593423019431988,0.5269455988855154,0,0,0,0,"[[315, 50, 13, 5, 2], [194, 912, 257, 32, 6], [25, 285, 133, 23, 7], [11, 114, 86, 29, 7], [14, 33, 27, 21, 75]]",0.4967751593983076,48,val_f1,13.740340948104858,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,Adam,0.0001,100,5,0.5213004484304933,0.48317907454587755,0.47853424011148393,0.4734742010954968,0.4745955734092764,0.6556329950383534,0.6274289985052317,0.5315444226125935,0,0,0,0,"[[296, 53, 21, 8, 7], [154, 796, 362, 75, 14], [17, 220, 169, 52, 15], [12, 73, 101, 49, 12], [12, 17, 38, 18, 85]]",0.5029930504426682,20,val_f1,10.021215677261353,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,Adam,0.0001,100,5,0.5246636771300448,0.518473221147444,0.4730883644051291,0.47836583463207727,0.47142891987688673,0.6588485390129792,0.601644245142003,0.5414353279868394,0,0,0,0,"[[298, 61, 19, 4, 3], [126, 789, 415, 64, 7], [13, 206, 203, 45, 6], [6, 70, 127, 39, 5], [18, 17, 35, 25, 75]]",0.5018812785241689,11,val_f1,10.889360189437866,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,Adam,0.001,100,5,0.5736173393124065,0.5192078965067177,0.4612703243559915,0.4771684662907232,0.4657177380577629,0.6690115289567906,0.554185351270553,0.54260667727606,0,0,0,0,"[[275, 77, 23, 6, 4], [95, 1003, 266, 31, 6], [9, 282, 157, 18, 7], [7, 102, 102, 24, 12], [10, 29, 32, 23, 76]]",0.5079886482192537,10,val_f1,5.877744913101196,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,Adam,0.001,100,5,0.5597907324364724,0.5114774042991435,0.4629270082452064,0.47463035867595876,0.46546615280844295,0.666762613298295,0.577727952167414,0.5250132376804169,0,0,0,0,"[[284, 75, 15, 8, 3], [109, 938, 300, 46, 8], [14, 247, 173, 29, 10], [8, 90, 105, 35, 9], [16, 25, 38, 23, 68]]",0.4881540140438312,10,val_f1,7.352189540863037,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,Adam,0.001,100,5,0.5844544095665172,0.5268900461363594,0.45046731245451505,0.4662497946077789,0.45415935216644676,0.6732748499889363,0.5388639760837071,0.5281750053634972,0,0,0,0,"[[268, 92, 19, 3, 3], [75, 1042, 271, 9, 4], [7, 270, 177, 13, 6], [5, 111, 117, 8, 6], [12, 36, 37, 16, 69]]",0.47833321962672637,11,val_f1,10.572943925857544,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,SGD,0.0001,100,5,0.4850523168908819,0.15677197395679196,0.23087998368512289,0.18640922690413303,0.2106378607470465,0.5356686686476613,0.7907324364723468,0.021700107368138433,0,0,0,0,"[[121, 264, 0, 0, 0], [224, 1177, 0, 0, 0], [69, 404, 0, 0, 0], [38, 209, 0, 0, 0], [44, 126, 0, 0, 0]]",0.1798991480625211,4,val_f1,3.8982937335968018,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,SGD,0.0001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,0.0,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.13759527907548563,1,val_f1,3.9369308948516846,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,SGD,0.0001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,0.0,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.13759527907548563,1,val_f1,5.774030447006226,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,SGD,0.001,100,5,0.522795216741405,0.13805243445692883,0.20009121499485522,0.13838484546360916,0.16960984720915376,0.5009549409878736,0.6973094170403588,-0.0003257078850436024,0,0,0,0,"[[1, 384, 0, 0, 0], [3, 1398, 0, 0, 0], [1, 472, 0, 0, 0], [0, 247, 0, 0, 0], [1, 169, 0, 0, 0]]",0.13870193766872735,1,val_f1,3.114107370376587,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs256
