ordinal,scenario,dataset,dsm_mode_tag,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,rmse,off_by_one_accuracy,qwk,linear_kappa,spearman,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_metric,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,Adam,0.0001,100,5,0.5594170403587444,0.5042058970077554,0.46893831549234444,0.4708793030678759,0.46689048703140773,0.6638180708485277,0.5814648729446936,0.9731062249120754,0.8938714499252616,0.5293117120238825,0.42862035861487513,0.5224057501259469,0,0,0,0,"[[312, 51, 14, 5, 3], [171, 942, 246, 34, 8], [19, 287, 136, 24, 7], [11, 109, 87, 30, 10], [16, 31, 27, 19, 77]]",0.600199322315162,37,val_qwk,12.85806679725647,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,Adam,0.0001,100,5,0.5403587443946188,0.4871930813232983,0.4684305144858172,0.46477724973103196,0.4640653782685192,0.6570967434604595,0.6053811659192825,0.98910356358259,0.8893871449925261,0.5294084456180739,0.42134222995583626,0.5154300641549827,0,0,0,0,"[[309, 49, 17, 8, 2], [201, 882, 262, 48, 8], [26, 263, 141, 34, 9], [14, 91, 98, 32, 12], [13, 34, 26, 15, 82]]",0.5891639686945407,26,val_qwk,11.649173974990845,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,Adam,0.0001,100,5,0.5246636771300448,0.518473221147444,0.4730883644051291,0.47836583463207727,0.47142891987688673,0.6588485390129792,0.601644245142003,0.9626818543866511,0.9020926756352765,0.5414353279868394,0.42928160665263226,0.525657579535592,0,0,0,0,"[[298, 61, 19, 4, 3], [126, 789, 415, 64, 7], [13, 206, 203, 45, 6], [6, 70, 127, 39, 5], [18, 17, 35, 25, 75]]",0.6042178275572969,11,val_qwk,11.208759307861328,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,Adam,0.001,100,5,0.5396113602391629,0.508188117850517,0.4736938978601638,0.4665641036095409,0.4658828434686219,0.6680417934432775,0.5949177877428998,0.9784677322932083,0.9020926756352765,0.5234708890912912,0.43080139551587915,0.5290649667954921,0,0,0,0,"[[328, 42, 12, 2, 1], [161, 813, 382, 39, 6], [20, 210, 208, 25, 10], [11, 73, 118, 34, 11], [26, 25, 37, 21, 61]]",0.5882858058032858,9,val_qwk,5.6165452003479,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,Adam,0.001,100,5,0.5597907324364724,0.5114774042991435,0.4629270082452064,0.47463035867595876,0.46546615280844295,0.666762613298295,0.577727952167414,0.9653952775177185,0.8949925261584455,0.5250132376804169,0.42959297294703735,0.5190397698460207,0,0,0,0,"[[284, 75, 15, 8, 3], [109, 938, 300, 46, 8], [14, 247, 173, 29, 10], [8, 90, 105, 35, 9], [16, 25, 38, 23, 68]]",0.5747773453757327,10,val_qwk,7.4653801918029785,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,Adam,0.001,100,5,0.5164424514200299,0.5507393335440413,0.4505717153502077,0.4627915436445952,0.4475748580607525,0.6554130107605157,0.5930493273542601,0.93890340896188,0.9185351270553064,0.5227906284783297,0.41364712171799756,0.5191034985743039,0,0,0,0,"[[259, 103, 19, 2, 2], [72, 762, 534, 30, 3], [5, 169, 272, 20, 7], [6, 58, 146, 34, 3], [16, 28, 42, 29, 55]]",0.5816606354752769,7,val_qwk,9.186569213867188,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Adam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,SGD,0.0001,100,5,0.4633781763826607,0.15506792058516194,0.2372924719819795,0.18697728860276763,0.2139614139172573,0.5382365345798563,0.8363228699551569,1.2967707390960765,0.804185351270553,0.030179912015524835,0.05078227527416712,0.08106146225613733,0,0,0,0,"[[160, 225, 0, 0, 0], [321, 1080, 0, 0, 0], [107, 366, 0, 0, 0], [57, 190, 0, 0, 0], [51, 119, 0, 0, 0]]",0.04462937329220262,3,val_qwk,3.8689377307891846,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,SGD,0.0001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,1.1232027663826183,0.844170403587444,0.0,0.0,,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.0,1,val_qwk,3.908745288848877,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,SGD,0.0001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,1.1232027663826183,0.844170403587444,0.0,0.0,,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.0,1,val_qwk,5.617304801940918,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,SGD,0.001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,1.1232027663826183,0.844170403587444,0.0,0.0,,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.0,2,val_qwk,3.258263111114502,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,SGD,0.001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,1.1232027663826183,0.844170403587444,0.0,0.0,,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.0,1,val_qwk,3.8973987102508545,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,SGD,0.001,100,5,0.523542600896861,0.1047085201793722,0.2,0.1374540103016924,0.16920289855072465,0.5,0.695814648729447,1.1232027663826183,0.844170403587444,0.0,0.0,,0,0,0,0,"[[0, 385, 0, 0, 0], [0, 1401, 0, 0, 0], [0, 473, 0, 0, 0], [0, 247, 0, 0, 0], [0, 170, 0, 0, 0]]",0.0,1,val_qwk,5.421982526779175,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/SGD_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,RMSprop,0.0001,100,5,0.5205530642750373,0.499032861276436,0.4618131294891284,0.4708483763170106,0.46324362584431505,0.6501433825520626,0.6218236173393124,0.99023634146508,0.8882660687593423,0.5187000215500578,0.40847486266845623,0.49718526943798674,0,0,0,0,"[[285, 59, 29, 6, 6], [110, 819, 393, 67, 12], [12, 232, 170, 51, 8], [6, 80, 112, 41, 8], [11, 24, 38, 19, 78]]",0.5735339975268511,43,val_qwk,12.914442300796509,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,RMSprop,0.0001,100,5,0.5347533632286996,0.5120557359748877,0.4689085085334578,0.4809366086155961,0.47164237044601354,0.6574646295529075,0.6046337817638266,0.9757906609774569,0.8893871449925261,0.5284066198562489,0.41997053346011604,0.5038233233405822,0,0,0,0,"[[282, 63, 28, 7, 5], [98, 854, 374, 67, 8], [12, 229, 175, 50, 7], [7, 83, 107, 40, 10], [10, 25, 37, 18, 80]]",0.6025195469000012,36,val_qwk,13.335394859313965,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,RMSprop,0.0001,100,5,0.5347533632286996,0.5141152493382867,0.4782049353691017,0.4860530146690653,0.479171400329147,0.6590708610674072,0.601270553064275,0.9721457013092178,0.8931240657698056,0.5385130905475568,0.4281651839395324,0.5154402413728439,0,0,0,0,"[[292, 63, 23, 5, 2], [121, 838, 367, 68, 7], [14, 231, 172, 45, 11], [7, 79, 104, 48, 9], [16, 23, 31, 19, 81]]",0.6064384979292184,41,val_qwk,21.07578682899475,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,RMSprop,0.001,100,5,0.5519431988041853,0.49291732779545755,0.45620697845079816,0.4633876001947831,0.45706587125438025,0.6622777399967668,0.5949177877428998,0.9879694868898589,0.8893871449925261,0.5052324356648251,0.4149683891180236,0.5048380739185209,0,0,0,0,"[[290, 65, 23, 4, 3], [108, 920, 318, 43, 12], [13, 241, 172, 36, 11], [7, 95, 105, 28, 12], [17, 34, 34, 18, 67]]",0.5566065157985295,23,val_qwk,8.323210000991821,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,RMSprop,0.001,100,5,0.5246636771300448,0.48118602767906626,0.4509344028194079,0.45495547368752715,0.44978788179951207,0.6553968191949995,0.6195814648729447,1.0007471050724612,0.8934977578475336,0.5025486847055611,0.40892635758984985,0.5092034746714316,0,0,0,0,"[[282, 75, 21, 2, 5], [91, 818, 403, 73, 16], [7, 202, 209, 44, 11], [6, 63, 130, 34, 14], [19, 29, 33, 28, 61]]",0.5721065933576204,11,val_qwk,7.207160711288452,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,RMSprop,0.001,100,5,0.5497010463378177,0.5400069256521244,0.4461961485894834,0.457122060552849,0.44584505298242333,0.6618709048001448,0.57847533632287,0.9622935979262595,0.9088191330343797,0.49440046552992456,0.4105777193446766,0.5037990568904436,0,0,0,0,"[[285, 78, 18, 1, 3], [94, 899, 386, 18, 4], [10, 235, 212, 8, 8], [6, 78, 138, 22, 3], [20, 42, 36, 19, 53]]",0.5681414105604025,7,val_qwk,8.3785982131958,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/RMSprop_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,256,FUJITA,Nadam,0.0001,100,5,0.5459641255605381,0.49003404608083284,0.4672410094205075,0.4666359865028755,0.4644649209260156,0.6577120911826891,0.5990284005979073,0.9866447498878791,0.8897608370702541,0.5278253950062464,0.42241172231563784,0.5177128069531478,0,0,0,0,"[[310, 51, 15, 5, 4], [181, 908, 254, 48, 10], [23, 280, 128, 33, 9], [10, 100, 93, 35, 9], [16, 28, 27, 19, 80]]",0.5908133927844124,39,val_qwk,13.826512575149536,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs256/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,128,FUJITA,Nadam,0.0001,100,5,0.5171898355754858,0.49354807099431575,0.4571639051911811,0.46526746402553004,0.45808857684917526,0.6477380158038398,0.6199551569506726,0.9805660181721682,0.8923766816143498,0.527025567767319,0.4093172670244172,0.5000229219063728,0,0,0,0,"[[278, 68, 24, 10, 5], [119, 818, 395, 56, 13], [19, 223, 173, 51, 7], [8, 77, 121, 34, 7], [6, 26, 37, 20, 81]]",0.5830860222703987,16,val_qwk,10.651703119277954,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs128/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,64,FUJITA,Nadam,0.0001,100,5,0.5833333333333334,0.5270698636250339,0.4665766024296114,0.47321052118923534,0.4657758835938638,0.6734736695967979,0.5594170403587444,0.9644270742077251,0.8931240657698056,0.5190438187633282,0.4308916339633062,0.5262588637879307,0,0,0,0,"[[318, 48, 12, 5, 2], [148, 1026, 199, 24, 4], [19, 312, 122, 14, 6], [11, 126, 82, 23, 5], [16, 40, 21, 21, 72]]",0.5960581911383751,23,val_qwk,19.13657236099243,2676,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs64/predictions.csv,results/scenario_5/FUJITA/dataset_16/dsm_density_uncertainty/Nadam_lr0.0001_bs64
