ordinal,scenario,dataset,dsm_mode_tag,variant_tag,dsm_post_concat_with_rgb,use_four_stream,residual,fusion,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,rmse,off_by_one_accuracy,qwk,linear_kappa,spearman,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_metric,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,256,MMF,Adam,0.0001,100,5,0.5276532137518685,0.4671694923321229,0.3427756713704323,0.350466623575126,0.3407506886669666,0.6062408507977985,0.6128550074738416,0.9769388755276299,0.8882660687593423,0.45963244433059147,0.32442072291219026,0.4907939317039748,0,0,0,0,"[[205, 156, 14, 7, 3], [238, 1107, 49, 6, 1], [22, 405, 44, 1, 1], [6, 140, 82, 17, 2], [1, 55, 43, 32, 39]]",0.53488268276133,44,val_qwk,64.9012725353241,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs256/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,128,MMF,Adam,0.0001,100,5,0.5347533632286996,0.45891124310889514,0.33530713133344153,0.3494275365917009,0.33598851698504156,0.6062039012892781,0.6068759342301944,0.9761735492248691,0.8882660687593423,0.44721493146689995,0.31725127364659156,0.4565448973947973,0,0,0,0,"[[169, 188, 18, 7, 3], [185, 1158, 50, 7, 1], [22, 402, 45, 3, 1], [6, 139, 80, 17, 5], [1, 58, 36, 33, 42]]",0.5406265719242181,24,val_qwk,56.16592526435852,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs128/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,64,MMF,Adam,0.0001,100,5,0.5795964125560538,0.5233809211527812,0.3597498762617185,0.38791673239351987,0.36497529618725805,0.6436595562749591,0.5429745889387145,0.9159359772927651,0.9009715994020927,0.4882680936099313,0.3714333195815491,0.522482143190252,0,0,0,0,"[[170, 187, 20, 4, 4], [77, 1251, 63, 10, 0], [3, 391, 70, 8, 1], [2, 123, 98, 20, 4], [1, 47, 50, 32, 40]]",0.5623798966358942,37,val_qwk,104.11640119552612,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs64/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,256,MMF,Adam,0.001,100,5,0.5896860986547086,0.54457138893377,0.3806796370124458,0.4162552345676236,0.38814051652999754,0.6519673620161034,0.5280269058295964,0.9015432707631376,0.9054559043348281,0.5164194550876533,0.3924379396812939,0.5083966309249397,0,0,0,0,"[[148, 207, 21, 6, 3], [41, 1281, 66, 9, 4], [4, 395, 59, 13, 2], [0, 128, 85, 27, 7], [1, 44, 31, 31, 63]]",0.5833769678288594,25,val_qwk,43.35337448120117,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs256/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,128,MMF,Adam,0.001,100,5,0.5751121076233184,0.5069297313232749,0.3591755222551519,0.374651609622504,0.3594339102674343,0.6372827601434023,0.5620328849028401,0.9466327706094002,0.8916292974588939,0.4608639017937799,0.3464454409877211,0.5124409652404116,0,0,0,0,"[[198, 174, 10, 2, 1], [108, 1251, 37, 2, 3], [14, 423, 32, 3, 1], [4, 153, 78, 11, 1], [2, 62, 36, 23, 47]]",0.5408232770288013,5,val_qwk,30.17721128463745,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs128/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,64,MMF,Adam,0.001,100,5,0.594170403587444,0.5411942525899145,0.37957562569851533,0.4134052616397123,0.3866919581619415,0.656787233432516,0.5265321375186846,0.9077395173672536,0.9043348281016442,0.503311659648056,0.3918748784309095,0.5330142123195981,0,0,0,0,"[[172, 193, 12, 5, 3], [39, 1276, 69, 13, 4], [1, 390, 70, 9, 3], [1, 126, 100, 17, 3], [5, 41, 42, 27, 55]]",0.5797392801464742,41,val_qwk,110.99171590805054,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs64/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/Adam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,256,MMF,SGD,0.0001,100,5,0.5175635276532138,0.16865205690119187,0.20675732547252887,0.1569015492253873,0.18073514790309464,0.5122792663204677,0.7059043348281017,1.1333047565200507,0.8419282511210763,0.021414080025739746,0.013792950061865095,0.08934457823772853,0,0,0,0,"[[24, 361, 0, 0, 0], [40, 1361, 0, 0, 0], [6, 467, 0, 0, 0], [4, 243, 0, 0, 0], [1, 169, 0, 0, 0]]",0.022577850197661675,1,val_qwk,15.990170001983643,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs256/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,128,MMF,SGD,0.0001,100,5,0.4891629297458894,0.14444095477386934,0.2083398685540013,0.1660502345689034,0.18783827591267416,0.5090926225079234,0.7608370702541106,1.195094607583949,0.8269805680119582,0.019761054781664567,0.015059548343710039,0.05100961062953609,0,0,0,0,"[[57, 328, 0, 0, 0], [149, 1252, 0, 0, 0], [46, 427, 0, 0, 0], [18, 229, 0, 0, 0], [18, 152, 0, 0, 0]]",0.023672741413707787,18,val_qwk,40.46227955818176,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs128/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,64,MMF,SGD,0.0001,100,5,0.5022421524663677,0.15048560189858773,0.2088155955393643,0.16484536082474227,0.1866143937990499,0.511070133783958,0.7357997010463379,1.1664531087906937,0.8329596412556054,0.02484888300127419,0.016638068722409027,0.06843756230980325,0,0,0,0,"[[45, 340, 0, 0, 0], [102, 1299, 0, 0, 0], [30, 443, 0, 0, 0], [11, 236, 0, 0, 0], [9, 161, 0, 0, 0]]",0.03100045012078778,32,val_qwk,87.78224754333496,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs64/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,4stream,True,True,True,mcmaf,256,MMF,SGD,0.001,100,5,0.4562780269058296,0.14441362125815585,0.2153671310844758,0.17284580332923521,0.19605333053366086,0.510567863209306,0.8172645739910314,1.243969008404731,0.8101644245142003,0.05070094154485716,0.027462124044688396,0.0977133667916263,0,0,0,0,"[[109, 276, 0, 0, 0], [289, 1112, 0, 0, 0], [91, 382, 0, 0, 0], [33, 214, 0, 0, 0], [21, 149, 0, 0, 0]]",0.051389597532007336,1,val_qwk,15.678920269012451,2676,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.001_bs256/predictions.csv,results/scenario_5/MMF/dataset_16/dsm_density_uncertainty/4stream/residual_True/fusion_mcmaf/SGD_lr0.001_bs256
